pair,y_adv,target_class,target_idx,clean_asr,poison_cta,poison_asr,collision_mse,realized_linf,N_p
dog-bird,5,2,430,0.0,0.7982,100.0,0.273171991109848,0.031372517347335815,500
dog-bird,5,2,387,0.0,0.8005,50.0,0.28159403800964355,0.031372517347335815,500
dog-bird,5,2,6715,0.0,0.8043999999999999,100.0,0.26534128189086914,0.031372517347335815,500
dog-bird,5,2,7670,0.0,0.8044833333333333,100.0,0.2729376554489136,0.031372517347335815,500
dog-bird,5,2,9467,0.0,0.7993833333333334,66.66666666666667,0.28082627058029175,0.031372517347335815,500
dog-bird,5,2,2100,0.0,0.8015666666666666,0.0,0.2655758559703827,0.031372517347335815,500
dog-bird,5,2,7171,0.0,0.8029333333333334,50.0,0.2691182792186737,0.031372517347335815,500
dog-bird,5,2,4833,0.0,0.7987500000000001,100.0,0.27338844537734985,0.031372517347335815,500
dog-bird,5,2,5599,0.0,0.8088000000000001,0.0,0.30505070090293884,0.031372517347335815,500
dog-bird,5,2,2544,0.0,0.8058833333333334,33.333333333333336,0.27863654494285583,0.031372517347335815,500
