pair,y_adv,target_class,target_idx,clean_asr,poison_cta,poison_asr,collision_mse,realized_linf,N_p
dog-bird,5,2,430,0.0,0.8039999999999998,16.666666666666668,0.2268691062927246,0.031372517347335815,500
dog-bird,5,2,387,16.666666666666668,0.7987000000000001,16.666666666666668,0.2336060255765915,0.031372517347335815,500
dog-bird,5,2,6715,0.0,0.80215,83.33333333333333,0.22502897679805756,0.031372517347335815,500
dog-bird,5,2,7670,0.0,0.7986,50.0,0.21946336328983307,0.031372517347335815,500
dog-bird,5,2,9467,0.0,0.8066999999999999,50.0,0.22617609798908234,0.031372517347335815,500
dog-bird,5,2,2100,0.0,0.7939333333333334,0.0,0.21428178250789642,0.031372517347335815,500
dog-bird,5,2,7171,0.0,0.7982333333333332,0.0,0.21459676325321198,0.031372517347335815,500
dog-bird,5,2,4833,0.0,0.8021666666666668,100.0,0.21867547929286957,0.031372517347335815,500
dog-bird,5,2,5599,0.0,0.8022333333333335,0.0,0.25823813676834106,0.031372517347335815,500
dog-bird,5,2,2544,0.0,0.8048833333333333,0.0,0.22333522140979767,0.031372517347335815,500
