pair,criterion,attack,y_adv,target_class,target_idx,craft_obj,realized_linf,poison_cta,poison_asr,N_p
dog-bird,gradnorm,fc,5,2,430,0.25742122530937195,0.031372517347335815,0.80055,0.0,500
dog-bird,gradnorm,fc,5,2,387,0.2816242277622223,0.031372517347335815,0.8050166666666668,50.0,500
dog-bird,gradnorm,fc,5,2,6715,0.2521347403526306,0.031372517347335815,0.7915666666666666,83.33333333333333,500
dog-bird,gradnorm,fc,5,2,7670,0.2665759325027466,0.031372517347335815,0.8040999999999999,50.0,500
dog-bird,gradnorm,fc,5,2,9467,0.2663818895816803,0.031372517347335815,0.8095833333333334,16.666666666666668,500
dog-bird,gradnorm,fc,5,2,2100,0.2698650360107422,0.031372517347335815,0.8038333333333333,0.0,500
dog-bird,gradnorm,fc,5,2,7171,0.26256150007247925,0.031372517347335815,0.79915,0.0,500
dog-bird,gradnorm,fc,5,2,4833,0.2569841146469116,0.031372517347335815,0.8023666666666668,83.33333333333333,500
dog-bird,gradnorm,fc,5,2,5599,0.28076690435409546,0.031372517347335815,0.8069999999999999,0.0,500
dog-bird,gradnorm,fc,5,2,2544,0.2575155794620514,0.031372517347335815,0.7996666666666666,0.0,500
