pair,y_adv,target_class,target_idx,clean_asr,poison_cta,poison_asr,collision_mse,realized_linf,N_p
dog-bird,5,2,430,0.0,0.80545,16.666666666666668,0.3090640604496002,0.031372517347335815,500
dog-bird,5,2,387,16.666666666666668,0.7987666666666667,33.333333333333336,0.3300480544567108,0.031372517347335815,500
dog-bird,5,2,6715,0.0,0.80435,66.66666666666667,0.3017668128013611,0.031372517347335815,500
dog-bird,5,2,7670,0.0,0.7969166666666666,0.0,0.31925687193870544,0.031372517347335815,500
dog-bird,5,2,9467,0.0,0.8034833333333333,0.0,0.31253334879875183,0.031372517347335815,500
dog-bird,5,2,2100,0.0,0.8023166666666667,0.0,0.30324316024780273,0.031372517347335815,500
dog-bird,5,2,7171,0.0,0.8062166666666667,0.0,0.31427356600761414,0.031372517347335815,500
dog-bird,5,2,4833,0.0,0.7996500000000001,83.33333333333333,0.3085833489894867,0.031372517347335815,500
dog-bird,5,2,5599,0.0,0.7975166666666667,16.666666666666668,0.3435728847980499,0.031372517347335815,500
dog-bird,5,2,2544,0.0,0.80615,33.333333333333336,0.30933406949043274,0.031372517347335815,500
