pair,attack,pipeline,y_adv,target_class,target_idx,clean_cta,clean_asr,poison_cta,poison_asr,craft_obj,realized_linf,N_p
dog-bird,fc,standard,5,2,430,0.805,0.0,0.7997799999999999,80.0,0.2521675229072571,0.031372517347335815,1000
dog-bird,fc,diffaug,5,2,430,0.8546,0.0,0.8499000000000001,80.0,0.2521675229072571,0.031372517347335815,1000
dog-bird,fc,cutmix,5,2,430,0.828,0.0,0.6723199999999999,60.0,0.2521675229072571,0.031372517347335815,1000
dog-bird,fc,"advtrain:alpha=0.0156863,steps=7",5,2,430,0.523,0.0,0.54742,20.0,0.2521675229072571,0.031372517347335815,1000
dog-bird,fc,dpsgd,5,2,430,0.7211,0.0,0.72224,100.0,0.2521675229072571,0.031372517347335815,1000
dog-bird,fc,standard,5,2,387,0.805,0.0,0.79586,0.0,0.24793021380901337,0.031372517347335815,1000
dog-bird,fc,diffaug,5,2,387,0.8546,0.0,0.84852,60.0,0.24793021380901337,0.031372517347335815,1000
dog-bird,fc,cutmix,5,2,387,0.828,100.0,0.83116,60.0,0.24793021380901337,0.031372517347335815,1000
dog-bird,fc,"advtrain:alpha=0.0156863,steps=7",5,2,387,0.523,0.0,0.62568,100.0,0.24793021380901337,0.031372517347335815,1000
dog-bird,fc,dpsgd,5,2,387,0.7211,0.0,0.72184,20.0,0.24793021380901337,0.031372517347335815,1000
dog-bird,fc,standard,5,2,6715,0.805,0.0,0.8062400000000001,100.0,0.2431577891111374,0.031372517347335815,1000
dog-bird,fc,diffaug,5,2,6715,0.8546,0.0,0.84188,100.0,0.2431577891111374,0.031372517347335815,1000
dog-bird,fc,cutmix,5,2,6715,0.828,0.0,0.83368,100.0,0.2431577891111374,0.031372517347335815,1000
dog-bird,fc,"advtrain:alpha=0.0156863,steps=7",5,2,6715,0.523,0.0,0.57778,0.0,0.2431577891111374,0.031372517347335815,1000
dog-bird,fc,dpsgd,5,2,6715,0.7211,100.0,0.7212200000000001,100.0,0.2431577891111374,0.031372517347335815,1000
dog-bird,fc,standard,5,2,7670,0.805,0.0,0.7963000000000001,80.0,0.24490445852279663,0.031372517347335815,1000
dog-bird,fc,diffaug,5,2,7670,0.8546,0.0,0.84864,100.0,0.24490445852279663,0.031372517347335815,1000
dog-bird,fc,cutmix,5,2,7670,0.828,0.0,0.80632,80.0,0.24490445852279663,0.031372517347335815,1000
dog-bird,fc,"advtrain:alpha=0.0156863,steps=7",5,2,7670,0.523,0.0,0.57822,0.0,0.24490445852279663,0.031372517347335815,1000
dog-bird,fc,dpsgd,5,2,7670,0.7211,0.0,0.7203599999999999,80.0,0.24490445852279663,0.031372517347335815,1000
dog-bird,fc,standard,5,2,9467,0.805,0.0,0.8023,80.0,0.25682592391967773,0.031372517347335815,1000
dog-bird,fc,diffaug,5,2,9467,0.8546,0.0,0.8434000000000001,80.0,0.25682592391967773,0.031372517347335815,1000
dog-bird,fc,cutmix,5,2,9467,0.828,0.0,0.7846,20.0,0.25682592391967773,0.031372517347335815,1000
dog-bird,fc,"advtrain:alpha=0.0156863,steps=7",5,2,9467,0.523,0.0,0.5928800000000001,0.0,0.25682592391967773,0.031372517347335815,1000
dog-bird,fc,dpsgd,5,2,9467,0.7211,0.0,0.72028,100.0,0.25682592391967773,0.031372517347335815,1000
dog-bird,fc,standard,5,2,2100,0.805,0.0,0.80288,0.0,0.24226218461990356,0.031372517347335815,1000
dog-bird,fc,diffaug,5,2,2100,0.8546,0.0,0.85006,0.0,0.24226218461990356,0.031372517347335815,1000
dog-bird,fc,cutmix,5,2,2100,0.828,0.0,0.68308,0.0,0.24226218461990356,0.031372517347335815,1000
dog-bird,fc,"advtrain:alpha=0.0156863,steps=7",5,2,2100,0.523,0.0,0.5147600000000001,0.0,0.24226218461990356,0.031372517347335815,1000
dog-bird,fc,dpsgd,5,2,2100,0.7211,0.0,0.7190399999999999,0.0,0.24226218461990356,0.031372517347335815,1000
dog-bird,fc,standard,5,2,7171,0.805,0.0,0.7929599999999999,0.0,0.232574462890625,0.031372517347335815,1000
dog-bird,fc,diffaug,5,2,7171,0.8546,0.0,0.84816,0.0,0.232574462890625,0.031372517347335815,1000
dog-bird,fc,cutmix,5,2,7171,0.828,0.0,0.8300000000000001,0.0,0.232574462890625,0.031372517347335815,1000
dog-bird,fc,"advtrain:alpha=0.0156863,steps=7",5,2,7171,0.523,0.0,0.5702799999999999,0.0,0.232574462890625,0.031372517347335815,1000
dog-bird,fc,dpsgd,5,2,7171,0.7211,0.0,0.72118,0.0,0.232574462890625,0.031372517347335815,1000
dog-bird,fc,standard,5,2,4833,0.805,0.0,0.8013600000000001,100.0,0.23911844193935394,0.031372517347335815,1000
dog-bird,fc,diffaug,5,2,4833,0.8546,0.0,0.84146,100.0,0.23911844193935394,0.031372517347335815,1000
dog-bird,fc,cutmix,5,2,4833,0.828,0.0,0.81494,80.0,0.23911844193935394,0.031372517347335815,1000
dog-bird,fc,"advtrain:alpha=0.0156863,steps=7",5,2,4833,0.523,0.0,0.6302999999999999,0.0,0.23911844193935394,0.031372517347335815,1000
dog-bird,fc,dpsgd,5,2,4833,0.7211,0.0,0.72112,100.0,0.23911844193935394,0.031372517347335815,1000
