pair,attack,y_adv,target_class,target_idx,clean_asr,poison_cta,poison_asr,craft_obj,realized_linf,N_p
dog-bird,gradmatch,5,2,430,nan,0.8379200000000001,20.0,0.14093440771102905,0.031372517347335815,500
dog-bird,gradmatch,5,2,387,nan,0.8373200000000001,60.0,0.18864959478378296,0.031372517347335815,500
dog-bird,gradmatch,5,2,6715,nan,0.83972,0.0,0.12198162078857422,0.031372517347335815,500
dog-bird,gradmatch,5,2,7670,nan,0.8380600000000001,0.0,0.15563488006591797,0.031372517347335815,500
dog-bird,gradmatch,5,2,9467,nan,0.83742,0.0,0.1295456886291504,0.031372517347335815,500
dog-bird,gradmatch,5,2,2100,nan,0.83804,0.0,0.15076994895935059,0.031372517347335815,500
dog-bird,gradmatch,5,2,7171,nan,0.8378599999999998,0.0,0.15761303901672363,0.031372517347335815,500
dog-bird,gradmatch,5,2,4833,nan,0.83772,0.0,0.1336134672164917,0.031372517347335815,500
dog-bird,gradmatch,5,2,5599,nan,0.84024,0.0,0.16270190477371216,0.031372517347335815,500
dog-bird,gradmatch,5,2,2544,nan,0.8383200000000001,0.0,0.12939631938934326,0.031372517347335815,500
