pair,y_adv,target_class,target_idx,clean_asr,poison_cta,poison_asr,collision_mse,realized_linf,N_p
dog-bird,5,2,430,0.0,0.7978750000000001,0.0,0.2294626533985138,0.031372517347335815,500
dog-bird,5,2,387,25.0,0.79605,25.0,0.24412916600704193,0.031372517347335815,500
dog-bird,5,2,6715,0.0,0.80285,75.0,0.22305631637573242,0.031372517347335815,500
dog-bird,5,2,7670,0.0,0.807675,25.0,0.19214709103107452,0.031372517347335815,500
dog-bird,5,2,9467,0.0,0.804625,25.0,0.19400830566883087,0.031372517347335815,500
