pair,attack,pipeline,y_adv,target_class,target_idx,target_true_label,clean_cta,clean_asr,poison_cta,poison_asr,craft_obj,realized_linf,N_p
dog-bird,gradmatch,standard,5,2,430,2,nan,nan,0.8318,0.0,0.11828255653381348,0.031372517347335815,50
dog-bird,gradmatch,standard,5,2,387,2,nan,nan,0.8311200000000001,0.0,0.19100022315979004,0.031372517347335815,50
dog-bird,gradmatch,standard,5,2,6715,2,nan,nan,0.8316399999999999,0.0,0.1583678126335144,0.031372517347335815,50
dog-bird,gradmatch,standard,5,2,7670,2,nan,nan,0.8302400000000001,0.0,0.1696503758430481,0.031372517347335815,50
dog-bird,gradmatch,standard,5,2,9467,2,nan,nan,0.8336,0.0,0.11677926778793335,0.031372517347335815,50
dog-bird,gradmatch,standard,5,2,2100,2,nan,nan,0.8303200000000001,0.0,0.17799216508865356,0.031372517347335815,50
dog-bird,gradmatch,standard,5,2,7171,2,nan,nan,0.8300999999999998,0.0,0.14833742380142212,0.031372517347335815,50
dog-bird,gradmatch,standard,5,2,4833,2,nan,nan,0.8289,0.0,0.12219607830047607,0.031372517347335815,50
dog-bird,gradmatch,standard,5,2,5599,2,nan,nan,0.8297000000000001,0.0,0.1310335397720337,0.031372517347335815,50
dog-bird,gradmatch,standard,5,2,2544,2,nan,nan,0.8343999999999999,0.0,0.12064582109451294,0.031372517347335815,50
