pair,attack,pipeline,y_adv,target_class,target_idx,target_true_label,clean_cta,clean_asr,poison_cta,poison_asr,craft_obj,realized_linf,N_p
dog-bird,fc,standard,5,2,2632,3,nan,nan,0.8458600000000001,0.0,0.08231021463871002,0.031372517347335815,100
dog-bird,fc,standard,5,2,2804,3,nan,nan,0.8504400000000001,40.0,0.08161929249763489,0.031372517347335815,100
dog-bird,fc,standard,5,2,740,2,nan,nan,0.8462800000000001,0.0,0.08888480812311172,0.031372517347335815,100
dog-bird,fc,standard,5,2,9375,3,nan,nan,0.849,40.0,0.08637052029371262,0.031372517347335815,100
dog-bird,fc,standard,5,2,1723,2,nan,nan,0.83552,80.0,0.07609755545854568,0.031372517347335815,100
dog-bird,fc,standard,5,2,9035,4,nan,nan,0.84878,20.0,0.07623614370822906,0.031372517347335815,100
dog-bird,fc,standard,5,2,3387,3,nan,nan,0.84642,80.0,0.08491093665361404,0.031372517347335815,100
dog-bird,fc,standard,5,2,5290,3,nan,nan,0.8333999999999999,100.0,0.08340160548686981,0.031372517347335815,100
dog-bird,fc,standard,5,2,8219,3,nan,nan,0.8406,20.0,0.1014183983206749,0.031372517347335815,100
dog-bird,fc,standard,5,2,4547,3,nan,nan,0.85168,40.0,0.07590949535369873,0.031372517347335815,100
