pair,attack,pipeline,y_adv,target_class,target_idx,target_true_label,clean_cta,clean_asr,poison_cta,poison_asr,craft_obj,realized_linf,N_p
frog-airplane,fc,standard,6,0,2442,4,nan,nan,0.8093999999999999,100.0,0.40200933814048767,0.031372517347335815,100
frog-airplane,fc,standard,6,0,4903,2,nan,nan,0.7994999999999999,40.0,0.39352723956108093,0.031372517347335815,100
frog-airplane,fc,standard,6,0,2533,8,nan,nan,0.80974,60.0,0.3933831453323364,0.031372517347335815,100
frog-airplane,fc,standard,6,0,2130,0,nan,nan,0.8016,20.0,0.7367080450057983,0.031372517347335815,100
frog-airplane,fc,standard,6,0,5458,3,nan,nan,0.80468,80.0,0.376920223236084,0.031372517347335815,100
frog-airplane,fc,standard,6,0,1644,2,nan,nan,0.8139199999999999,40.0,0.369230180978775,0.031372517347335815,100
frog-airplane,fc,standard,6,0,7344,4,nan,nan,0.8121599999999999,100.0,0.3618910014629364,0.031372517347335815,100
frog-airplane,fc,standard,6,0,7446,5,nan,nan,0.81204,20.0,0.45815902948379517,0.031372517347335815,100
frog-airplane,fc,standard,6,0,5411,2,nan,nan,0.80862,80.0,0.4123295545578003,0.031372517347335815,100
frog-airplane,fc,standard,6,0,8542,2,nan,nan,0.8117599999999999,80.0,0.3825955092906952,0.031372517347335815,100
