pair,attack,pipeline,y_adv,target_class,target_idx,target_true_label,clean_cta,clean_asr,poison_cta,poison_asr,craft_obj,realized_linf,N_p
frog-airplane,fc,standard,6,0,2442,4,nan,nan,0.81518,60.0,0.37541860342025757,0.031372517347335815,50
frog-airplane,fc,standard,6,0,4903,2,nan,nan,0.8173600000000001,80.0,0.3769448697566986,0.031372517347335815,50
frog-airplane,fc,standard,6,0,2533,8,nan,nan,0.81532,100.0,0.38403433561325073,0.031372517347335815,50
frog-airplane,fc,standard,6,0,2130,0,nan,nan,0.81068,40.0,0.6941559314727783,0.031372517347335815,50
frog-airplane,fc,standard,6,0,5458,3,nan,nan,0.8041599999999999,40.0,0.44364479184150696,0.031372517347335815,50
frog-airplane,fc,standard,6,0,1644,2,nan,nan,0.8147800000000001,80.0,0.3499881625175476,0.031372517347335815,50
frog-airplane,fc,standard,6,0,7344,4,nan,nan,0.81822,60.0,0.34698784351348877,0.031372517347335815,50
frog-airplane,fc,standard,6,0,7446,5,nan,nan,0.8105800000000001,40.0,0.4342208504676819,0.031372517347335815,50
frog-airplane,fc,standard,6,0,5411,2,nan,nan,0.8110200000000001,100.0,0.4065040946006775,0.031372517347335815,50
frog-airplane,fc,standard,6,0,8542,2,nan,nan,0.80752,80.0,0.34568363428115845,0.031372517347335815,50
