pair,attack,y_adv,target_class,target_idx,clean_asr,poison_cta,poison_asr,craft_obj,realized_linf,N_p
dog-bird,gradmatch,5,2,430,nan,0.80676,0.0,0.21387696266174316,0.031372517347335815,50
dog-bird,gradmatch,5,2,387,nan,0.80024,20.0,0.16838997602462769,0.031372517347335815,50
dog-bird,gradmatch,5,2,6715,nan,0.80366,40.0,0.3143138289451599,0.031372517347335815,50
dog-bird,gradmatch,5,2,7670,nan,0.8048,0.0,0.19820505380630493,0.031372517347335815,50
dog-bird,gradmatch,5,2,9467,nan,0.79584,0.0,0.2733401656150818,0.031372517347335815,50
dog-bird,gradmatch,5,2,2100,nan,0.7985599999999999,0.0,0.26870810985565186,0.031372517347335815,50
dog-bird,gradmatch,5,2,7171,nan,0.80496,0.0,0.2042350172996521,0.031372517347335815,50
dog-bird,gradmatch,5,2,4833,nan,0.80008,20.0,0.2182663083076477,0.031372517347335815,50
dog-bird,gradmatch,5,2,5599,nan,0.8020800000000001,0.0,0.2332148551940918,0.031372517347335815,50
dog-bird,gradmatch,5,2,2544,nan,0.8051999999999999,0.0,0.2616252899169922,0.031372517347335815,50
