pair,attack,y_adv,target_class,target_idx,clean_asr,poison_cta,poison_asr,craft_obj,realized_linf,N_p
dog-bird,fc,5,2,430,nan,0.8353200000000001,0.0,0.0416090190410614,0.031372517347335815,500
dog-bird,fc,5,2,387,nan,0.8361799999999999,0.0,0.040572263300418854,0.031372517347335815,500
dog-bird,fc,5,2,6715,nan,0.8366800000000001,0.0,0.0445992611348629,0.031372517347335815,500
dog-bird,fc,5,2,7670,nan,0.8366200000000001,20.0,0.03372785449028015,0.031372517347335815,500
dog-bird,fc,5,2,9467,nan,0.8378,0.0,0.03889232873916626,0.031372517347335815,500
dog-bird,fc,5,2,2100,nan,0.8370599999999999,0.0,0.038625724613666534,0.031372517347335815,500
dog-bird,fc,5,2,7171,nan,0.83654,0.0,0.041340261697769165,0.031372517347335815,500
dog-bird,fc,5,2,4833,nan,0.8357000000000001,0.0,0.035010337829589844,0.031372517347335815,500
dog-bird,fc,5,2,5599,nan,0.83544,0.0,0.053029865026474,0.031372517347335815,500
dog-bird,fc,5,2,2544,nan,0.8365199999999999,0.0,0.04684792459011078,0.031372517347335815,500
