pair,attack,y_adv,target_class,target_idx,clean_asr,poison_cta,poison_asr,craft_obj,realized_linf,N_p
dog-bird,gradmatch,5,2,430,nan,0.79818,100.0,0.21043336391448975,0.031372517347335815,1000
dog-bird,gradmatch,5,2,387,nan,0.80026,100.0,0.1820892095565796,0.031372517347335815,1000
dog-bird,gradmatch,5,2,6715,nan,0.8034399999999999,100.0,0.2850501537322998,0.031372517347335815,1000
dog-bird,gradmatch,5,2,7670,nan,0.80162,100.0,0.21489685773849487,0.031372517347335815,1000
dog-bird,gradmatch,5,2,9467,nan,0.80346,100.0,0.22611820697784424,0.031372517347335815,1000
dog-bird,gradmatch,5,2,2100,nan,0.7972199999999999,20.0,0.2374863624572754,0.031372517347335815,1000
dog-bird,gradmatch,5,2,7171,nan,0.8030799999999999,80.0,0.22520983219146729,0.031372517347335815,1000
dog-bird,gradmatch,5,2,4833,nan,0.8044399999999999,100.0,0.21686148643493652,0.031372517347335815,1000
dog-bird,gradmatch,5,2,5599,nan,0.79832,100.0,0.27517974376678467,0.031372517347335815,1000
dog-bird,gradmatch,5,2,2544,nan,0.7979799999999999,80.0,0.20984667539596558,0.031372517347335815,1000
