pair,attack,pipeline,y_adv,target_class,target_idx,target_true_label,clean_cta,clean_asr,poison_cta,poison_asr,craft_obj,realized_linf,N_p
dog-bird,gradmatch,standard,5,2,1503,4,nan,nan,0.77542,60.0,0.1457170844078064,0.031372517347335815,5000
dog-bird,gradmatch,standard,5,2,4421,2,nan,nan,0.7780400000000001,20.0,0.17581987380981445,0.031372517347335815,5000
dog-bird,gradmatch,standard,5,2,2391,2,nan,nan,0.77476,0.0,0.11497503519058228,0.031372517347335815,5000
dog-bird,gradmatch,standard,5,2,1163,3,nan,nan,0.78136,100.0,0.13697081804275513,0.031372517347335815,5000
dog-bird,gradmatch,standard,5,2,9778,3,nan,nan,0.77988,100.0,0.10843634605407715,0.031372517347335815,5000
dog-bird,gradmatch,standard,5,2,6202,3,nan,nan,0.7769,0.0,0.12286502122879028,0.031372517347335815,5000
dog-bird,gradmatch,standard,5,2,3135,7,nan,nan,0.78492,80.0,0.10573065280914307,0.031372517347335815,5000
dog-bird,gradmatch,standard,5,2,8746,3,nan,nan,0.7830999999999999,0.0,0.14132416248321533,0.031372517347335815,5000
dog-bird,gradmatch,standard,5,2,3491,3,nan,nan,0.77468,40.0,0.1183881163597107,0.031372517347335815,5000
dog-bird,gradmatch,standard,5,2,4563,7,nan,nan,0.77634,60.0,0.14810055494308472,0.031372517347335815,5000
