pair,attack,y_adv,target_class,target_idx,clean_asr,poison_cta,poison_asr,craft_obj,realized_linf,N_p
dog-bird,gradmatch,5,2,430,0.0,0.7915599999999999,80.0,0.20904994010925293,0.031372517347335815,5000
dog-bird,gradmatch,5,2,387,0.0,0.7916799999999999,100.0,0.18098700046539307,0.031372517347335815,5000
dog-bird,gradmatch,5,2,6715,0.0,0.78718,100.0,0.2720394730567932,0.031372517347335815,5000
dog-bird,gradmatch,5,2,7670,0.0,0.77864,100.0,0.16156452894210815,0.031372517347335815,5000
dog-bird,gradmatch,5,2,9467,0.0,0.79816,100.0,0.21849966049194336,0.031372517347335815,5000
dog-bird,gradmatch,5,2,2100,0.0,0.7936,100.0,0.24853336811065674,0.031372517347335815,5000
dog-bird,gradmatch,5,2,7171,0.0,0.7797999999999999,40.0,0.21912747621536255,0.031372517347335815,5000
dog-bird,gradmatch,5,2,4833,0.0,0.7765,40.0,0.20563554763793945,0.031372517347335815,5000
dog-bird,gradmatch,5,2,5599,0.0,0.78342,0.0,0.23316967487335205,0.031372517347335815,5000
dog-bird,gradmatch,5,2,2544,0.0,0.78812,60.0,0.21406912803649902,0.031372517347335815,5000
