pair,attack,y_adv,target_class,target_idx,clean_asr,poison_cta,poison_asr,craft_obj,realized_linf,N_p
frog-airplane,fc,6,0,398,nan,0.80522,0.0,0.2829548120498657,0.031372517347335815,2500
frog-airplane,fc,6,0,315,nan,0.79684,0.0,0.26113206148147583,0.031372517347335815,2500
frog-airplane,fc,6,0,6738,nan,0.79624,0.0,0.3030999004840851,0.031372517347335815,2500
frog-airplane,fc,6,0,7742,nan,0.8083600000000001,0.0,0.28000786900520325,0.031372517347335815,2500
frog-airplane,fc,6,0,9544,nan,0.8054400000000002,0.0,0.2642178535461426,0.031372517347335815,2500
frog-airplane,fc,6,0,2113,nan,0.8037000000000001,0.0,0.27619698643684387,0.031372517347335815,2500
frog-airplane,fc,6,0,7146,nan,0.8026199999999999,0.0,0.2787202000617981,0.031372517347335815,2500
frog-airplane,fc,6,0,5124,nan,0.79808,0.0,0.2910740077495575,0.031372517347335815,2500
frog-airplane,fc,6,0,5703,nan,0.7950799999999999,0.0,0.25199440121650696,0.031372517347335815,2500
frog-airplane,fc,6,0,2672,nan,0.79828,0.0,0.2767520546913147,0.031372517347335815,2500
