pair,attack,pipeline,y_adv,target_class,target_idx,clean_cta,clean_asr,poison_cta,poison_asr,craft_obj,realized_linf,N_p
frog-airplane,fc,standard,6,0,8492,nan,nan,0.7337,100.0,0.4272407293319702,0.031372517347335815,5000
frog-airplane,fc,standard,6,0,3063,nan,nan,0.74178,60.0,0.5086683034896851,0.031372517347335815,5000
frog-airplane,fc,standard,6,0,602,nan,nan,0.7432599999999999,0.0,0.4588562250137329,0.031372517347335815,5000
frog-airplane,fc,standard,6,0,4415,nan,nan,0.74688,0.0,0.46517205238342285,0.031372517347335815,5000
frog-airplane,fc,standard,6,0,2388,nan,nan,0.7417999999999999,80.0,0.424430787563324,0.031372517347335815,5000
frog-airplane,fc,standard,6,0,6036,nan,nan,0.74912,0.0,0.4812483489513397,0.031372517347335815,5000
frog-airplane,fc,standard,6,0,5806,nan,nan,0.7477199999999999,0.0,0.49541300535202026,0.031372517347335815,5000
frog-airplane,fc,standard,6,0,9991,nan,nan,0.74798,20.0,0.454437255859375,0.031372517347335815,5000
frog-airplane,fc,standard,6,0,9256,nan,nan,0.74344,0.0,0.45649364590644836,0.031372517347335815,5000
frog-airplane,fc,standard,6,0,2680,nan,nan,0.7485999999999999,0.0,0.479418009519577,0.031372517347335815,5000
