pair,attack,pipeline,y_adv,target_class,target_idx,target_true_label,clean_cta,clean_asr,poison_cta,poison_asr,craft_obj,realized_linf,N_p
dog-bird,fc,standard,5,2,1503,4,nan,nan,0.83162,40.0,0.04731267690658569,0.031372517347335815,100
dog-bird,fc,standard,5,2,4421,2,nan,nan,0.8285199999999999,0.0,0.0679045245051384,0.031372517347335815,100
dog-bird,fc,standard,5,2,2391,2,nan,nan,0.83308,40.0,0.05218453332781792,0.031372517347335815,100
dog-bird,fc,standard,5,2,1163,3,nan,nan,0.8327199999999999,60.0,0.049841511994600296,0.031372517347335815,100
dog-bird,fc,standard,5,2,9778,3,nan,nan,0.8316800000000001,40.0,0.06539097428321838,0.031372517347335815,100
dog-bird,fc,standard,5,2,6202,3,nan,nan,0.8326399999999999,0.0,0.06009862944483757,0.031372517347335815,100
dog-bird,fc,standard,5,2,3135,7,nan,nan,0.8321799999999999,60.0,0.06113217771053314,0.031372517347335815,100
dog-bird,fc,standard,5,2,8746,3,nan,nan,0.8307800000000001,40.0,0.053035181015729904,0.031372517347335815,100
dog-bird,fc,standard,5,2,3491,3,nan,nan,0.8278000000000001,20.0,0.05843739211559296,0.031372517347335815,100
dog-bird,fc,standard,5,2,4563,7,nan,nan,0.83302,60.0,0.05303843319416046,0.031372517347335815,100
