pair,attack,y_adv,target_class,target_idx,clean_asr,poison_cta,poison_asr,craft_obj,realized_linf,N_p
dog-bird,fc,5,2,430,0.0,0.7652000000000001,0.0,0.2569841146469116,0.031372517347335815,5000
dog-bird,fc,5,2,387,0.0,0.7639599999999999,20.0,0.2881245017051697,0.031372517347335815,5000
dog-bird,fc,5,2,6715,0.0,0.77092,100.0,0.2533709406852722,0.031372517347335815,5000
dog-bird,fc,5,2,7670,0.0,0.7644399999999999,40.0,0.2672521471977234,0.031372517347335815,5000
dog-bird,fc,5,2,9467,0.0,0.76622,80.0,0.2660694718360901,0.031372517347335815,5000
dog-bird,fc,5,2,2100,0.0,0.76836,60.0,0.25036102533340454,0.031372517347335815,5000
dog-bird,fc,5,2,7171,0.0,0.7627599999999999,0.0,0.2681102752685547,0.031372517347335815,5000
dog-bird,fc,5,2,4833,0.0,0.76434,0.0,0.26105234026908875,0.031372517347335815,5000
dog-bird,fc,5,2,5599,0.0,0.76544,0.0,0.2886590361595154,0.031372517347335815,5000
dog-bird,fc,5,2,2544,0.0,0.77034,0.0,0.24644486606121063,0.031372517347335815,5000
