pair,attack,pipeline,y_adv,target_class,target_idx,target_true_label,clean_cta,clean_asr,poison_cta,poison_asr,craft_obj,realized_linf,N_p
dog-bird,gradmatch,standard,5,2,1503,4,nan,nan,0.8293799999999999,100.0,0.12767183780670166,0.031372517347335815,1000
dog-bird,gradmatch,standard,5,2,4421,2,nan,nan,0.8311999999999999,20.0,0.19872349500656128,0.031372517347335815,1000
dog-bird,gradmatch,standard,5,2,2391,2,nan,nan,0.8300599999999999,100.0,0.11796188354492188,0.031372517347335815,1000
dog-bird,gradmatch,standard,5,2,1163,3,nan,nan,0.8301999999999999,100.0,0.13365232944488525,0.031372517347335815,1000
dog-bird,gradmatch,standard,5,2,9778,3,nan,nan,0.83414,80.0,0.09511488676071167,0.031372517347335815,1000
dog-bird,gradmatch,standard,5,2,6202,3,nan,nan,0.8312000000000002,80.0,0.13069474697113037,0.031372517347335815,1000
dog-bird,gradmatch,standard,5,2,3135,7,nan,nan,0.82966,100.0,0.10789048671722412,0.031372517347335815,1000
dog-bird,gradmatch,standard,5,2,8746,3,nan,nan,0.83072,60.0,0.13944286108016968,0.031372517347335815,1000
dog-bird,gradmatch,standard,5,2,3491,3,nan,nan,0.8304600000000001,100.0,0.12571507692337036,0.031372517347335815,1000
dog-bird,gradmatch,standard,5,2,4563,7,nan,nan,0.8314600000000001,100.0,0.12454986572265625,0.031372517347335815,1000
