pair,attack,pipeline,y_adv,target_class,target_idx,target_true_label,clean_cta,clean_asr,poison_cta,poison_asr,craft_obj,realized_linf,N_p
dog-bird,fc,standard,5,2,2632,3,nan,nan,0.84762,80.0,0.06907379627227783,0.031372517347335815,500
dog-bird,fc,standard,5,2,2804,3,nan,nan,0.85106,80.0,0.08356000483036041,0.031372517347335815,500
dog-bird,fc,standard,5,2,740,2,nan,nan,0.8407,20.0,0.08329833298921585,0.031372517347335815,500
dog-bird,fc,standard,5,2,9375,3,nan,nan,0.84784,60.0,0.06943653523921967,0.031372517347335815,500
dog-bird,fc,standard,5,2,1723,2,nan,nan,0.85282,80.0,0.0765322744846344,0.031372517347335815,500
dog-bird,fc,standard,5,2,9035,4,nan,nan,0.8386000000000001,80.0,0.0794157162308693,0.031372517347335815,500
dog-bird,fc,standard,5,2,3387,3,nan,nan,0.8448399999999999,100.0,0.06812752783298492,0.031372517347335815,500
dog-bird,fc,standard,5,2,5290,3,nan,nan,0.84708,80.0,0.078856460750103,0.031372517347335815,500
dog-bird,fc,standard,5,2,8219,3,nan,nan,0.8548199999999999,100.0,0.07982943952083588,0.031372517347335815,500
dog-bird,fc,standard,5,2,4547,3,nan,nan,0.84278,80.0,0.07308681309223175,0.031372517347335815,500
