pair,attack,pipeline,y_adv,target_class,target_idx,target_true_label,clean_cta,clean_asr,poison_cta,poison_asr,craft_obj,realized_linf,N_p
dog-bird,fc,standard,5,2,1503,4,nan,nan,0.7698200000000001,0.0,0.060163889080286026,0.031372517347335815,5000
dog-bird,fc,standard,5,2,4421,2,nan,nan,0.7708999999999999,0.0,0.061697617173194885,0.031372517347335815,5000
dog-bird,fc,standard,5,2,2391,2,nan,nan,0.7726599999999999,0.0,0.05896653234958649,0.031372517347335815,5000
dog-bird,fc,standard,5,2,1163,3,nan,nan,0.7697200000000001,0.0,0.06428996473550797,0.031372517347335815,5000
dog-bird,fc,standard,5,2,9778,3,nan,nan,0.7689600000000001,0.0,0.0807747021317482,0.031372517347335815,5000
dog-bird,fc,standard,5,2,6202,3,nan,nan,0.7699999999999999,0.0,0.05482972785830498,0.031372517347335815,5000
dog-bird,fc,standard,5,2,3135,7,nan,nan,0.77292,0.0,0.07217633724212646,0.031372517347335815,5000
dog-bird,fc,standard,5,2,8746,3,nan,nan,0.77012,0.0,0.053853776305913925,0.031372517347335815,5000
dog-bird,fc,standard,5,2,3491,3,nan,nan,0.7738599999999999,0.0,0.06476183980703354,0.031372517347335815,5000
dog-bird,fc,standard,5,2,4563,7,nan,nan,0.77598,0.0,0.04745754972100258,0.031372517347335815,5000
