pair,attack,y_adv,target_class,target_idx,clean_asr,poison_cta,poison_asr,craft_obj,realized_linf,N_p
dog-bird,fc,5,2,430,nan,0.7794800000000001,20.0,0.13210844993591309,0.031372517347335815,5000
dog-bird,fc,5,2,387,nan,0.78894,0.0,0.11539505422115326,0.031372517347335815,5000
dog-bird,fc,5,2,6715,nan,0.7859200000000002,0.0,0.16578459739685059,0.031372517347335815,5000
dog-bird,fc,5,2,7670,nan,0.7868,0.0,0.17721214890480042,0.031372517347335815,5000
dog-bird,fc,5,2,9467,nan,0.79022,100.0,0.16347546875476837,0.031372517347335815,5000
dog-bird,fc,5,2,2100,nan,0.78564,0.0,0.1740952581167221,0.031372517347335815,5000
dog-bird,fc,5,2,7171,nan,0.78554,0.0,0.14596982300281525,0.031372517347335815,5000
dog-bird,fc,5,2,4833,nan,0.78984,0.0,0.12418508529663086,0.031372517347335815,5000
dog-bird,fc,5,2,5599,nan,0.78438,0.0,0.18929533660411835,0.031372517347335815,5000
dog-bird,fc,5,2,2544,nan,0.78776,0.0,0.18640635907649994,0.031372517347335815,5000
