pair,attack,y_adv,target_class,target_idx,clean_asr,poison_cta,poison_asr,craft_obj,realized_linf,N_p
dog-bird,fc,5,2,430,nan,0.8248199999999999,0.0,0.04254104197025299,0.031372517347335815,2500
dog-bird,fc,5,2,387,nan,0.8277599999999999,0.0,0.04427734762430191,0.031372517347335815,2500
dog-bird,fc,5,2,6715,nan,0.82804,0.0,0.048859477043151855,0.031372517347335815,2500
dog-bird,fc,5,2,7670,nan,0.8264800000000001,0.0,0.03690597414970398,0.031372517347335815,2500
dog-bird,fc,5,2,9467,nan,0.82546,60.0,0.041121598333120346,0.031372517347335815,2500
dog-bird,fc,5,2,2100,nan,0.8270200000000001,0.0,0.03968989849090576,0.031372517347335815,2500
dog-bird,fc,5,2,7171,nan,0.8236000000000001,0.0,0.045786332339048386,0.031372517347335815,2500
dog-bird,fc,5,2,4833,nan,0.82968,0.0,0.035595547407865524,0.031372517347335815,2500
dog-bird,fc,5,2,5599,nan,0.8259000000000001,0.0,0.05481122434139252,0.031372517347335815,2500
dog-bird,fc,5,2,2544,nan,0.8248199999999999,0.0,0.04717923328280449,0.031372517347335815,2500
