pair,attack,y_adv,target_class,target_idx,clean_asr,poison_cta,poison_asr,craft_obj,realized_linf,N_p
dog-bird,gradmatch,5,2,430,nan,0.8045,0.0,0.21515655517578125,0.031372517347335815,100
dog-bird,gradmatch,5,2,387,nan,0.80388,40.0,0.17577999830245972,0.031372517347335815,100
dog-bird,gradmatch,5,2,6715,nan,0.8054600000000001,20.0,0.2777913808822632,0.031372517347335815,100
dog-bird,gradmatch,5,2,7670,nan,0.80274,0.0,0.19097471237182617,0.031372517347335815,100
dog-bird,gradmatch,5,2,9467,nan,0.79954,20.0,0.22456616163253784,0.031372517347335815,100
dog-bird,gradmatch,5,2,2100,nan,0.80296,0.0,0.2435804009437561,0.031372517347335815,100
dog-bird,gradmatch,5,2,7171,nan,0.8078199999999999,20.0,0.21594589948654175,0.031372517347335815,100
dog-bird,gradmatch,5,2,4833,nan,0.7870600000000001,40.0,0.2130163311958313,0.031372517347335815,100
dog-bird,gradmatch,5,2,5599,nan,0.80282,0.0,0.2551044821739197,0.031372517347335815,100
dog-bird,gradmatch,5,2,2544,nan,0.80494,20.0,0.25151246786117554,0.031372517347335815,100
