pair,attack,y_adv,target_class,target_idx,clean_asr,poison_cta,poison_asr,craft_obj,realized_linf,N_p
dog-bird,gradmatch,5,2,430,nan,0.8561,0.0,0.33854639530181885,0.031372517347335815,25
dog-bird,gradmatch,5,2,387,nan,0.8554600000000001,20.0,0.3838426470756531,0.031372517347335815,25
dog-bird,gradmatch,5,2,6715,nan,0.85524,0.0,0.3278111219406128,0.031372517347335815,25
dog-bird,gradmatch,5,2,7670,nan,0.85742,0.0,0.36673057079315186,0.031372517347335815,25
dog-bird,gradmatch,5,2,9467,nan,0.8538,20.0,0.3492580056190491,0.031372517347335815,25
dog-bird,gradmatch,5,2,2100,nan,0.84974,0.0,0.382509708404541,0.031372517347335815,25
dog-bird,gradmatch,5,2,7171,nan,0.85968,0.0,0.32388633489608765,0.031372517347335815,25
dog-bird,gradmatch,5,2,4833,nan,0.8567599999999999,0.0,0.3237863779067993,0.031372517347335815,25
dog-bird,gradmatch,5,2,5599,nan,0.85824,0.0,0.34612947702407837,0.031372517347335815,25
dog-bird,gradmatch,5,2,2544,nan,0.8512599999999999,0.0,0.319108247756958,0.031372517347335815,25
