pair,attack,y_adv,target_class,target_idx,clean_asr,poison_cta,poison_asr,craft_obj,realized_linf,N_p
dog-bird,fc,5,2,430,nan,0.83924,0.0,0.04075350612401962,0.031372517347335815,25
dog-bird,fc,5,2,387,nan,0.8378,20.0,0.03772468492388725,0.031372517347335815,25
dog-bird,fc,5,2,6715,nan,0.83416,0.0,0.04204853996634483,0.031372517347335815,25
dog-bird,fc,5,2,7670,nan,0.8369,0.0,0.03121490590274334,0.031372517347335815,25
dog-bird,fc,5,2,9467,nan,0.8379199999999999,0.0,0.03723335266113281,0.031372517347335815,25
dog-bird,fc,5,2,2100,nan,0.83574,0.0,0.03804432973265648,0.031372517347335815,25
dog-bird,fc,5,2,7171,nan,0.83646,0.0,0.03841378912329674,0.031372517347335815,25
dog-bird,fc,5,2,4833,nan,0.8369,0.0,0.03699196130037308,0.031372517347335815,25
dog-bird,fc,5,2,5599,nan,0.8379000000000001,0.0,0.051430072635412216,0.031372517347335815,25
dog-bird,fc,5,2,2544,nan,0.83432,0.0,0.048554934561252594,0.031372517347335815,25
