pair,attack,pipeline,y_adv,target_class,target_idx,target_true_label,clean_cta,clean_asr,poison_cta,poison_asr,craft_obj,realized_linf,N_p
dog-bird,fc,standard,5,2,1503,4,nan,nan,0.83138,20.0,0.062273625284433365,0.031372517347335815,250
dog-bird,fc,standard,5,2,4421,2,nan,nan,0.83064,0.0,0.07084149867296219,0.031372517347335815,250
dog-bird,fc,standard,5,2,2391,2,nan,nan,0.8331,20.0,0.05144389718770981,0.031372517347335815,250
dog-bird,fc,standard,5,2,1163,3,nan,nan,0.8303200000000001,60.0,0.05598418042063713,0.031372517347335815,250
dog-bird,fc,standard,5,2,9778,3,nan,nan,0.8307,20.0,0.06808419525623322,0.031372517347335815,250
dog-bird,fc,standard,5,2,6202,3,nan,nan,0.8301400000000001,0.0,0.04854605346918106,0.031372517347335815,250
dog-bird,fc,standard,5,2,3135,7,nan,nan,0.83058,20.0,0.06446002423763275,0.031372517347335815,250
dog-bird,fc,standard,5,2,8746,3,nan,nan,0.8325799999999999,20.0,0.051754456013441086,0.031372517347335815,250
dog-bird,fc,standard,5,2,3491,3,nan,nan,0.83118,20.0,0.06892417371273041,0.031372517347335815,250
dog-bird,fc,standard,5,2,4563,7,nan,nan,0.833,60.0,0.05869227275252342,0.031372517347335815,250
