pair,attack,pipeline,y_adv,target_class,target_idx,target_true_label,clean_cta,clean_asr,poison_cta,poison_asr,craft_obj,realized_linf,N_p
dog-bird,gradmatch,standard,5,2,430,2,nan,nan,0.8457399999999999,100.0,0.2502632737159729,0.031372517347335815,100
dog-bird,gradmatch,standard,5,2,387,2,nan,nan,0.8387400000000002,80.0,0.2481728196144104,0.031372517347335815,100
dog-bird,gradmatch,standard,5,2,6715,2,nan,nan,0.8472800000000001,100.0,0.22767257690429688,0.031372517347335815,100
dog-bird,gradmatch,standard,5,2,7670,2,nan,nan,0.8418000000000001,60.0,0.24840229749679565,0.031372517347335815,100
dog-bird,gradmatch,standard,5,2,9467,2,nan,nan,0.8438800000000001,20.0,0.2958729863166809,0.031372517347335815,100
dog-bird,gradmatch,standard,5,2,2100,2,nan,nan,0.84528,0.0,0.2572762966156006,0.031372517347335815,100
dog-bird,gradmatch,standard,5,2,7171,2,nan,nan,0.85244,100.0,0.25662529468536377,0.031372517347335815,100
dog-bird,gradmatch,standard,5,2,4833,2,nan,nan,0.8451000000000001,100.0,0.225225567817688,0.031372517347335815,100
dog-bird,gradmatch,standard,5,2,5599,2,nan,nan,0.8555400000000001,20.0,0.24451863765716553,0.031372517347335815,100
dog-bird,gradmatch,standard,5,2,2544,2,nan,nan,0.8412199999999999,20.0,0.2118844985961914,0.031372517347335815,100
