pair,attack,pipeline,y_adv,target_class,target_idx,target_true_label,clean_cta,clean_asr,poison_cta,poison_asr,craft_obj,realized_linf,N_p
frog-airplane,fc,standard,6,0,2442,4,nan,nan,0.80586,80.0,0.3830086886882782,0.031372517347335815,250
frog-airplane,fc,standard,6,0,4903,2,nan,nan,0.80548,100.0,0.4073947072029114,0.031372517347335815,250
frog-airplane,fc,standard,6,0,2533,8,nan,nan,0.8093800000000002,100.0,0.3707025349140167,0.031372517347335815,250
frog-airplane,fc,standard,6,0,2130,0,nan,nan,0.8129000000000002,40.0,0.6876021027565002,0.031372517347335815,250
frog-airplane,fc,standard,6,0,5458,3,nan,nan,0.8145999999999999,100.0,0.3718123435974121,0.031372517347335815,250
frog-airplane,fc,standard,6,0,1644,2,nan,nan,0.8103400000000001,80.0,0.37931564450263977,0.031372517347335815,250
frog-airplane,fc,standard,6,0,7344,4,nan,nan,0.8119999999999999,100.0,0.34935030341148376,0.031372517347335815,250
frog-airplane,fc,standard,6,0,7446,5,nan,nan,0.8103199999999999,40.0,0.45737162232398987,0.031372517347335815,250
frog-airplane,fc,standard,6,0,5411,2,nan,nan,0.8056000000000001,100.0,0.4080771207809448,0.031372517347335815,250
frog-airplane,fc,standard,6,0,8542,2,nan,nan,0.81182,60.0,0.3681364357471466,0.031372517347335815,250
