pair,attack,pipeline,y_adv,target_class,target_idx,clean_cta,clean_asr,poison_cta,poison_asr,craft_obj,realized_linf,N_p
dog-bird,fc,standard,5,2,430,0.805,0.0,0.8065800000000001,40.0,0.273429811000824,0.031372517347335815,1000
dog-bird,fc,diffaug,5,2,430,0.8546,0.0,0.8536000000000001,0.0,0.273429811000824,0.031372517347335815,1000
dog-bird,fc,cutmix,5,2,430,0.828,0.0,0.83416,40.0,0.273429811000824,0.031372517347335815,1000
dog-bird,fc,"advtrain:alpha=0.0156863,steps=7",5,2,430,0.523,0.0,0.63296,40.0,0.273429811000824,0.031372517347335815,1000
dog-bird,fc,dpsgd,5,2,430,0.7211,0.0,0.71932,100.0,0.273429811000824,0.031372517347335815,1000
dog-bird,fc,standard,5,2,387,0.805,0.0,0.8039400000000001,20.0,0.29002368450164795,0.031372517347335815,1000
dog-bird,fc,diffaug,5,2,387,0.8546,0.0,0.8473599999999999,0.0,0.29002368450164795,0.031372517347335815,1000
dog-bird,fc,cutmix,5,2,387,0.828,100.0,0.8100999999999999,0.0,0.29002368450164795,0.031372517347335815,1000
dog-bird,fc,"advtrain:alpha=0.0156863,steps=7",5,2,387,0.523,0.0,0.6059,80.0,0.29002368450164795,0.031372517347335815,1000
dog-bird,fc,dpsgd,5,2,387,0.7211,0.0,0.72302,20.0,0.29002368450164795,0.031372517347335815,1000
dog-bird,fc,standard,5,2,6715,0.805,0.0,0.80458,80.0,0.2700664699077606,0.031372517347335815,1000
dog-bird,fc,diffaug,5,2,6715,0.8546,0.0,0.8499000000000001,60.0,0.2700664699077606,0.031372517347335815,1000
dog-bird,fc,cutmix,5,2,6715,0.828,0.0,0.7928000000000001,60.0,0.2700664699077606,0.031372517347335815,1000
dog-bird,fc,"advtrain:alpha=0.0156863,steps=7",5,2,6715,0.523,0.0,0.62728,0.0,0.2700664699077606,0.031372517347335815,1000
dog-bird,fc,dpsgd,5,2,6715,0.7211,100.0,0.72414,100.0,0.2700664699077606,0.031372517347335815,1000
dog-bird,fc,standard,5,2,7670,0.805,0.0,0.80734,20.0,0.27388933300971985,0.031372517347335815,1000
dog-bird,fc,diffaug,5,2,7670,0.8546,0.0,0.8448399999999999,20.0,0.27388933300971985,0.031372517347335815,1000
dog-bird,fc,cutmix,5,2,7670,0.828,0.0,0.82256,40.0,0.27388933300971985,0.031372517347335815,1000
dog-bird,fc,"advtrain:alpha=0.0156863,steps=7",5,2,7670,0.523,0.0,0.5277999999999999,0.0,0.27388933300971985,0.031372517347335815,1000
dog-bird,fc,dpsgd,5,2,7670,0.7211,0.0,0.72024,0.0,0.27388933300971985,0.031372517347335815,1000
dog-bird,fc,standard,5,2,9467,0.805,0.0,0.7997,20.0,0.2814565598964691,0.031372517347335815,1000
dog-bird,fc,diffaug,5,2,9467,0.8546,0.0,0.84662,0.0,0.2814565598964691,0.031372517347335815,1000
dog-bird,fc,cutmix,5,2,9467,0.828,0.0,0.8099000000000001,0.0,0.2814565598964691,0.031372517347335815,1000
dog-bird,fc,"advtrain:alpha=0.0156863,steps=7",5,2,9467,0.523,0.0,0.5989800000000001,0.0,0.2814565598964691,0.031372517347335815,1000
dog-bird,fc,dpsgd,5,2,9467,0.7211,0.0,0.7238399999999999,40.0,0.2814565598964691,0.031372517347335815,1000
dog-bird,fc,standard,5,2,2100,0.805,0.0,0.79542,0.0,0.27238377928733826,0.031372517347335815,1000
dog-bird,fc,diffaug,5,2,2100,0.8546,0.0,0.84946,0.0,0.27238377928733826,0.031372517347335815,1000
dog-bird,fc,cutmix,5,2,2100,0.828,0.0,0.82104,0.0,0.27238377928733826,0.031372517347335815,1000
dog-bird,fc,"advtrain:alpha=0.0156863,steps=7",5,2,2100,0.523,0.0,0.54992,0.0,0.27238377928733826,0.031372517347335815,1000
dog-bird,fc,dpsgd,5,2,2100,0.7211,0.0,0.7198199999999999,0.0,0.27238377928733826,0.031372517347335815,1000
dog-bird,fc,standard,5,2,7171,0.805,0.0,0.80054,20.0,0.26818037033081055,0.031372517347335815,1000
dog-bird,fc,diffaug,5,2,7171,0.8546,0.0,0.8497600000000001,0.0,0.26818037033081055,0.031372517347335815,1000
dog-bird,fc,cutmix,5,2,7171,0.828,0.0,0.8249000000000001,0.0,0.26818037033081055,0.031372517347335815,1000
dog-bird,fc,"advtrain:alpha=0.0156863,steps=7",5,2,7171,0.523,0.0,0.60422,0.0,0.26818037033081055,0.031372517347335815,1000
dog-bird,fc,dpsgd,5,2,7171,0.7211,0.0,0.72046,0.0,0.26818037033081055,0.031372517347335815,1000
dog-bird,fc,standard,5,2,4833,0.805,0.0,0.7985599999999999,60.0,0.2715272307395935,0.031372517347335815,1000
dog-bird,fc,diffaug,5,2,4833,0.8546,0.0,0.84806,60.0,0.2715272307395935,0.031372517347335815,1000
dog-bird,fc,cutmix,5,2,4833,0.828,0.0,0.8233,100.0,0.2715272307395935,0.031372517347335815,1000
dog-bird,fc,"advtrain:alpha=0.0156863,steps=7",5,2,4833,0.523,0.0,0.6167800000000001,0.0,0.2715272307395935,0.031372517347335815,1000
dog-bird,fc,dpsgd,5,2,4833,0.7211,0.0,0.72054,40.0,0.2715272307395935,0.031372517347335815,1000
