pair,criterion,attack,y_adv,target_class,target_idx,craft_obj,realized_linf,poison_cta,poison_asr,N_p
dog-bird,pixel_l2,fc,5,2,430,0.21181020140647888,0.031372517347335815,0.8002666666666666,33.333333333333336,500
dog-bird,pixel_l2,fc,5,2,387,0.2293630838394165,0.031372517347335815,0.8017833333333333,33.333333333333336,500
dog-bird,pixel_l2,fc,5,2,6715,0.20862004160881042,0.031372517347335815,0.7991,50.0,500
dog-bird,pixel_l2,fc,5,2,7670,0.21571025252342224,0.031372517347335815,0.7931333333333334,33.333333333333336,500
dog-bird,pixel_l2,fc,5,2,9467,0.22694861888885498,0.031372517347335815,0.7941833333333332,50.0,500
dog-bird,pixel_l2,fc,5,2,2100,0.2176094800233841,0.031372517347335815,0.7981666666666668,0.0,500
dog-bird,pixel_l2,fc,5,2,7171,0.2148713618516922,0.031372517347335815,0.8058833333333335,0.0,500
dog-bird,pixel_l2,fc,5,2,4833,0.2147631198167801,0.031372517347335815,0.7991166666666666,50.0,500
dog-bird,pixel_l2,fc,5,2,5599,0.24302922189235687,0.031372517347335815,0.8020999999999999,0.0,500
dog-bird,pixel_l2,fc,5,2,2544,0.20442131161689758,0.031372517347335815,0.8000166666666666,0.0,500
