pair,criterion,attack,y_adv,target_class,target_idx,craft_obj,realized_linf,poison_cta,poison_asr,N_p
dog-bird,grad_cos,fc,5,2,430,0.2339385747909546,0.031372517347335815,0.8022499999999999,0.0,500
dog-bird,grad_cos,fc,5,2,387,0.24551664292812347,0.031372517347335815,0.8065833333333332,66.66666666666667,500
dog-bird,grad_cos,fc,5,2,6715,0.22570572793483734,0.031372517347335815,0.8001166666666667,33.333333333333336,500
dog-bird,grad_cos,fc,5,2,7670,0.2367277592420578,0.031372517347335815,0.8012333333333332,33.333333333333336,500
dog-bird,grad_cos,fc,5,2,9467,0.24305082857608795,0.031372517347335815,0.8049333333333334,50.0,500
dog-bird,grad_cos,fc,5,2,2100,0.23279701173305511,0.031372517347335815,0.8058333333333335,0.0,500
dog-bird,grad_cos,fc,5,2,7171,0.2363130748271942,0.031372517347335815,0.8033000000000001,0.0,500
dog-bird,grad_cos,fc,5,2,4833,0.22405879199504852,0.031372517347335815,0.8037000000000001,50.0,500
dog-bird,grad_cos,fc,5,2,5599,0.2703504264354706,0.031372517347335815,0.8076833333333333,0.0,500
dog-bird,grad_cos,fc,5,2,2544,0.22820673882961273,0.031372517347335815,0.8005833333333333,0.0,500
