pair,criterion,attack,y_adv,target_class,target_idx,craft_obj,realized_linf,poison_cta,poison_asr,N_p
dog-bird,random,fc,5,2,430,0.2563866972923279,0.031372517347335815,0.8029666666666667,0.0,500
dog-bird,random,fc,5,2,387,0.28211525082588196,0.031372517347335815,0.8020333333333333,50.0,500
dog-bird,random,fc,5,2,6715,0.2539442181587219,0.031372517347335815,0.8068166666666666,66.66666666666667,500
dog-bird,random,fc,5,2,7670,0.28052228689193726,0.031372517347335815,0.7993833333333334,0.0,500
dog-bird,random,fc,5,2,9467,0.2630460262298584,0.031372517347335815,0.8057166666666666,0.0,500
dog-bird,random,fc,5,2,2100,0.2681835889816284,0.031372517347335815,0.8010666666666667,0.0,500
dog-bird,random,fc,5,2,7171,0.26703041791915894,0.031372517347335815,0.8068333333333334,0.0,500
dog-bird,random,fc,5,2,4833,0.25906434655189514,0.031372517347335815,0.8078333333333334,0.0,500
dog-bird,random,fc,5,2,5599,0.29028841853141785,0.031372517347335815,0.7972333333333332,0.0,500
dog-bird,random,fc,5,2,2544,0.25616395473480225,0.031372517347335815,0.8073666666666668,0.0,500
