pair,criterion,attack,y_adv,target_class,target_idx,craft_obj,realized_linf,poison_cta,poison_asr,N_p
dog-bird,feat_l2,fc,5,2,430,0.21768693625926971,0.031372517347335815,0.8042333333333334,16.666666666666668,500
dog-bird,feat_l2,fc,5,2,387,0.22448664903640747,0.031372517347335815,0.8004833333333332,66.66666666666667,500
dog-bird,feat_l2,fc,5,2,6715,0.21386076509952545,0.031372517347335815,0.8018333333333333,66.66666666666667,500
dog-bird,feat_l2,fc,5,2,7670,0.22089506685733795,0.031372517347335815,0.8077500000000001,33.333333333333336,500
dog-bird,feat_l2,fc,5,2,9467,0.22681237757205963,0.031372517347335815,0.8042999999999999,16.666666666666668,500
dog-bird,feat_l2,fc,5,2,2100,0.21208088099956512,0.031372517347335815,0.8024000000000001,0.0,500
dog-bird,feat_l2,fc,5,2,7171,0.21195966005325317,0.031372517347335815,0.8042666666666668,0.0,500
dog-bird,feat_l2,fc,5,2,4833,0.2102871686220169,0.031372517347335815,0.8028166666666666,33.333333333333336,500
dog-bird,feat_l2,fc,5,2,5599,0.2443382441997528,0.031372517347335815,0.8029166666666666,0.0,500
dog-bird,feat_l2,fc,5,2,2544,0.20877912640571594,0.031372517347335815,0.80185,0.0,500
