pair,method,target_idx,y_adv,select_time_s,asr,cta,craft_obj,realized_linf,N_p
dog-bird,smart,430,5,0.2017401596531272,nan,nan,nan,nan,500
dog-bird,exact,430,5,3.044872381724417,nan,nan,nan,nan,500
dog-bird,smart,387,5,0.11346356105059385,nan,nan,nan,nan,500
dog-bird,exact,387,5,3.133695271797478,nan,nan,nan,nan,500
dog-bird,smart,6715,5,0.10876476392149925,nan,nan,nan,nan,500
dog-bird,exact,6715,5,2.852514655329287,nan,nan,nan,nan,500
dog-bird,smart,7670,5,0.08917885925620794,nan,nan,nan,nan,500
dog-bird,exact,7670,5,2.789180491119623,nan,nan,nan,nan,500
dog-bird,smart,9467,5,0.08671579044312239,nan,nan,nan,nan,500
dog-bird,exact,9467,5,2.4137179143726826,nan,nan,nan,nan,500
dog-bird,smart,2100,5,0.08436455763876438,nan,nan,nan,nan,500
dog-bird,exact,2100,5,2.796075092628598,nan,nan,nan,nan,500
dog-bird,smart,7171,5,0.08440322987735271,nan,nan,nan,nan,500
dog-bird,exact,7171,5,2.43096377607435,nan,nan,nan,nan,500
dog-bird,smart,4833,5,0.08452960848808289,nan,nan,nan,nan,500
dog-bird,exact,4833,5,2.650378843769431,nan,nan,nan,nan,500
dog-bird,smart,5599,5,0.09119798522442579,nan,nan,nan,nan,500
dog-bird,exact,5599,5,2.4164950409904122,nan,nan,nan,nan,500
dog-bird,smart,2544,5,0.08736919332295656,nan,nan,nan,nan,500
dog-bird,exact,2544,5,2.4525196040049195,nan,nan,nan,nan,500
