pair,method,target_idx,y_adv,select_time_s,asr,cta,craft_obj,realized_linf,N_p
dog-bird,smart,430,5,1.8949189279228449,66.66666666666667,0.7998666666666666,0.24513280391693115,0.031372517347335815,500
dog-bird,exact,430,5,33.61572396103293,83.33333333333333,0.7974,0.24552476406097412,0.031372517347335815,500
dog-bird,smart,387,5,1.4547024061903358,0.0,0.8019,0.2335180640220642,0.031372517347335815,500
dog-bird,exact,387,5,33.77206408511847,66.66666666666667,0.8015333333333333,0.23931854963302612,0.031372517347335815,500
dog-bird,smart,6715,5,0.9944658624008298,100.0,0.8018166666666667,0.2368825525045395,0.031372517347335815,500
dog-bird,exact,6715,5,13.009098591282964,100.0,0.7997333333333333,0.24852176010608673,0.031372517347335815,500
dog-bird,smart,7670,5,0.5892635835334659,83.33333333333333,0.8038166666666666,0.23557527363300323,0.031372517347335815,500
dog-bird,exact,7670,5,15.12282405141741,66.66666666666667,0.8023333333333333,0.24221152067184448,0.031372517347335815,500
dog-bird,smart,9467,5,0.5044446978718042,33.333333333333336,0.7958666666666666,0.24961642920970917,0.031372517347335815,500
dog-bird,exact,9467,5,12.962259976193309,50.0,0.8036666666666666,0.25109076499938965,0.031372517347335815,500
dog-bird,smart,2100,5,0.4626592639833689,0.0,0.7987166666666666,0.23142212629318237,0.031372517347335815,500
dog-bird,exact,2100,5,14.05794785078615,0.0,0.7991166666666666,0.23022587597370148,0.031372517347335815,500
dog-bird,smart,7171,5,0.49211875163018703,16.666666666666668,0.8038666666666666,0.22043274343013763,0.031372517347335815,500
dog-bird,exact,7171,5,13.32149236369878,0.0,0.80625,0.22111152112483978,0.031372517347335815,500
dog-bird,smart,4833,5,0.5633967835456133,50.0,0.8029000000000001,0.22853779792785645,0.031372517347335815,500
dog-bird,exact,4833,5,12.975065902806818,83.33333333333333,0.7932166666666668,0.2322378307580948,0.031372517347335815,500
dog-bird,smart,5599,5,1.200905255973339,0.0,0.7945833333333333,0.2793399691581726,0.031372517347335815,500
dog-bird,exact,5599,5,28.642438533715904,0.0,0.7968166666666666,0.27946901321411133,0.031372517347335815,500
dog-bird,smart,2544,5,1.180485500022769,16.666666666666668,0.7978833333333334,0.23057608306407928,0.031372517347335815,500
dog-bird,exact,2544,5,23.439673874527216,16.666666666666668,0.8009333333333334,0.23147305846214294,0.031372517347335815,500
