pair,criterion,attack,y_adv,target_class,target_idx,craft_obj,realized_linf,poison_cta,poison_asr,N_p
dog-bird,ours,fc,5,2,430,0.227163165807724,0.031372517347335815,0.8078833333333333,33.333333333333336,500
dog-bird,ours,fc,5,2,387,0.23988200724124908,0.031372517347335815,0.8018666666666666,33.333333333333336,500
dog-bird,ours,fc,5,2,6715,0.22441665828227997,0.031372517347335815,0.7984166666666667,83.33333333333333,500
dog-bird,ours,fc,5,2,7670,0.23254963755607605,0.031372517347335815,0.8036333333333334,83.33333333333333,500
dog-bird,ours,fc,5,2,9467,0.23637931048870087,0.031372517347335815,0.8037833333333334,66.66666666666667,500
dog-bird,ours,fc,5,2,2100,0.2277437150478363,0.031372517347335815,0.8025500000000001,0.0,500
dog-bird,ours,fc,5,2,7171,0.22569218277931213,0.031372517347335815,0.7987833333333333,33.333333333333336,500
dog-bird,ours,fc,5,2,4833,0.2250857651233673,0.031372517347335815,0.8071666666666667,100.0,500
dog-bird,ours,fc,5,2,5599,0.2530689835548401,0.031372517347335815,0.8016333333333333,0.0,500
dog-bird,ours,fc,5,2,2544,0.22275128960609436,0.031372517347335815,0.7993666666666667,33.333333333333336,500
