pair,y_adv,target_class,target_idx,clean_asr,poison_cta,poison_asr,collision_mse,realized_linf,N_p
dog-bird,5,2,430,0.0,0.8060499999999999,0.0,0.26588401198387146,0.031372517347335815,500
dog-bird,5,2,387,0.0,0.8039000000000001,0.0,0.2745959460735321,0.031372517347335815,500
dog-bird,5,2,6715,16.666666666666668,0.8078500000000001,50.0,0.2513110339641571,0.031372517347335815,500
dog-bird,5,2,7670,0.0,0.8008500000000001,0.0,0.2690715193748474,0.031372517347335815,500
dog-bird,5,2,9467,0.0,0.8045666666666667,0.0,0.258680135011673,0.031372517347335815,500
dog-bird,5,2,2100,0.0,0.8049499999999999,0.0,0.2648211121559143,0.031372517347335815,500
dog-bird,5,2,7171,0.0,0.8067666666666665,0.0,0.2631125748157501,0.031372517347335815,500
dog-bird,5,2,4833,0.0,0.8044666666666668,0.0,0.25017914175987244,0.031372517347335815,500
dog-bird,5,2,5599,0.0,0.7994666666666667,0.0,0.28236085176467896,0.031372517347335815,500
dog-bird,5,2,2544,0.0,0.7994666666666667,0.0,0.26371926069259644,0.031372517347335815,500
