pair,criterion,attack,y_adv,target_class,target_idx,craft_obj,realized_linf,poison_cta,poison_asr,N_p
dog-bird,margin,fc,5,2,430,0.2554306387901306,0.031372517347335815,0.8054666666666667,0.0,500
dog-bird,margin,fc,5,2,387,0.2824171781539917,0.031372517347335815,0.8010166666666666,100.0,500
dog-bird,margin,fc,5,2,6715,0.25170132517814636,0.031372517347335815,0.8057166666666666,100.0,500
dog-bird,margin,fc,5,2,7670,0.2645799219608307,0.031372517347335815,0.8051499999999999,66.66666666666667,500
dog-bird,margin,fc,5,2,9467,0.2645246684551239,0.031372517347335815,0.8007,50.0,500
dog-bird,margin,fc,5,2,2100,0.2721657156944275,0.031372517347335815,0.8001666666666668,0.0,500
dog-bird,margin,fc,5,2,7171,0.2613731324672699,0.031372517347335815,0.8044000000000001,0.0,500
dog-bird,margin,fc,5,2,4833,0.2566697597503662,0.031372517347335815,0.8020833333333334,33.333333333333336,500
dog-bird,margin,fc,5,2,5599,0.2782982587814331,0.031372517347335815,0.8074500000000001,0.0,500
dog-bird,margin,fc,5,2,2544,0.2565242052078247,0.031372517347335815,0.8012333333333334,0.0,500
