pair,criterion,attack,y_adv,target_class,target_idx,craft_obj,realized_linf,poison_cta,poison_asr,N_p
dog-bird,feat_cos,fc,5,2,430,0.2192067801952362,0.031372517347335815,0.8064999999999999,33.333333333333336,500
dog-bird,feat_cos,fc,5,2,387,0.2243630737066269,0.031372517347335815,0.8049000000000001,16.666666666666668,500
dog-bird,feat_cos,fc,5,2,6715,0.2148863971233368,0.031372517347335815,0.7969333333333334,66.66666666666667,500
dog-bird,feat_cos,fc,5,2,7670,0.22223395109176636,0.031372517347335815,0.8029999999999999,66.66666666666667,500
dog-bird,feat_cos,fc,5,2,9467,0.2290250062942505,0.031372517347335815,0.8026000000000001,50.0,500
dog-bird,feat_cos,fc,5,2,2100,0.21236583590507507,0.031372517347335815,0.7851166666666667,0.0,500
dog-bird,feat_cos,fc,5,2,7171,0.21267710626125336,0.031372517347335815,0.8027833333333335,0.0,500
dog-bird,feat_cos,fc,5,2,4833,0.21178485453128815,0.031372517347335815,0.7984166666666668,33.333333333333336,500
dog-bird,feat_cos,fc,5,2,5599,0.246510848402977,0.031372517347335815,0.8045666666666667,16.666666666666668,500
dog-bird,feat_cos,fc,5,2,2544,0.20865091681480408,0.031372517347335815,0.7990333333333334,0.0,500
